id	text	misogynous	misogyny_category	target
1	Please tell me why the bitch next to me in the piercing line is so judgmental about everyone she fucking sees. SHUT THE FUCK UP.	1	dominance	active
2	<MENTION_1> <MENTION_2> Bitch shut the fuck up	1	dominance	active
3	<MENTION_1> Dear cunt, please shut the fuck up.	1	dominance	active
4	RT <MENTION_1> Pls shut the fuck up bitch	1	dominance	active
5	"RT <MENTION_1> ""when u gonna get your license"" SHUT THE FUCK UP BITCH I AINT GOT TIME DAMN GET OFF MY DICK"	1	dominance	active
6	<MENTION_1> <MENTION_2> Bitch shut the fuck up	1	dominance	active
7	ok babies i'll go to sleep ok bitch shut the fuck up	1	dominance	passive
8	You are a fucking ugly bitch!shut the fuck up??????????????????????????????????????????????????????you just a ugly bitch!fuck you ??????????	1	dominance	active
9	RT <MENTION_1> bitch shut the fuck up you're fucking your best friends dad <URL>	1	dominance	active
10	"RT <MENTION_1>  shut the fuck up and come suck my dick """	1	sexual_harassment	active
11	<MENTION_1> ice has more talent in his ejeculated sperm than you do in ur whole body please shut the fuck up and go suck idubbz dick u cunt	1	sexual_harassment	active
12	<MENTION_1> Ok if you fucking said leave block me. But dm me first I'm gonna kick your ass. Shut the fuck up you <URL>	1	sexual_harassment	active
13	<MENTION_1> Shut the fuck up ye little slag	1	dominance	active
14	Selena has BEEN acting like she'ss the victim all these years, shut the fuck up <URL>	1	derailing	passive
15	<MENTION_1> Shut the fuck up you cunt	1	dominance	active
16	like damn bitch if youre hungry shut the fuck up and eat im trying to sleep!!!	1	dominance	active
17	"RT <MENTION_1> ""You too skinny, imma hurt you"" Girl  if you don't shut the fuck up and ride this dick. Imma be aight. I got Obamacare."""	1	sexual_harassment	active
18	<MENTION_1> shut the fuck up hes not gonna dick you was gonna send u this dope steroline edit but u can go cry to olly	1	dominance	active
19	"Don't speak bitch,just Die Die Die Why can't you go bye bye bye? Cause I will take your life away So turn around and just shut the fuck up!"""	1	dominance	active
20	If women want equailty they should be drafted into war. See how that feels!!!	1	derailing	passive
21	charli: fuck you bitch charli: omg why am i so extra wjahjaaj	1	discredit	active
22	Bitch you better be 😂😂 <URL>	1	discredit	active
23	<MENTION_1> Come on box I show you my cock darling	1	sexual_harassment	active
24	Rica gets so much cock in her licked cunt <URL>	1	sexual_harassment	active
25	Say you gon ride, bitch ride	1	discredit	active
26	<MENTION_1> bitch you a hoe... I do not like yo fish booty ass no fuckin moe	1	discredit	active
27	They call it HB. I’m a hot bitch you a has been	1	discredit	active
28	I kno this bitch pussy smells really bad because she cook steak rice n corn everyday	1	discredit	active
29	<MENTION_1> Cause you're a Bitch and you love those situations! 🤷🏼‍♂️	1	discredit	active
30	cuf yo boy and yo girl Have you heard ‘pull a bad bitch’ by Reese's stuffed with on #SoundCloud? #np <URL>	1	discredit	passive
