id	text	misogynous	aggressiveness
1	<MENTION_1> <MENTION_2> Fatti trovare  te lo do volentieri e ti sborro in bocca	1	1
2	<MENTION_1> Tu dovresti ricominciare dai semafori a fare la lavavetri..ma tranquilla tanto il vitalizio ti resterà in gola	1	1
3	"Amore,sei presentabile? Xchè così via Skype ti faccio conoscere i miei parenti..."" e fu così che da un tablet ho conosciuto i parenti terroni della mia tettona,prendendomi un ""avete già finito di pranzare? beh si,voi al nord siete diversi..."" Dal nord è tutto,a voi..."""	1	1
4	<MENTION_1> Salvo poi mandare la culona a Mosca, aummaumm, per farsi dare da Putin commesse multimiliardarie e metterlo in quel posto ai FRATELLI della UE (tra i quali NOI)	1	0
5	<MENTION_1> <MENTION_2> Vediamo Gentiloni, è ora di finirla di essere servili! Pensiamo al danno che la Francia ci ha fatto con Sarkosy e la culona della Merkel con il bombardamento della Libia	1	1
6	<MENTION_1> Che cagna che sei anke io voglio fare pasqua cosi con te mmmmmm	1	1
7	<MENTION_1> Bella figa da scopare	1	1
8	Puttana — ma che cazzo ne sai tu ma la smetti <URL>	1	1
9	<MENTION_1> Ti inculo <URL>	1	1
10	Finalmente di nuovo con la mia polpettona culona coccodrillosa ❤. <URL>	1	1
11	<MENTION_1> che puttanone	1	1
12	<MENTION_1> Ti scopo la figa	1	1
13	Mi è piaciuto un video di <MENTION_1> <URL> 20 MOTIVI PER USCIRE CON UNA TETTONA	1	1
14	<MENTION_1> Ah tettona	1	0
15	<MENTION_1> <MENTION_2> Hai visto suoi stories ?la tettona	1	0
16	<MENTION_1> <MENTION_2> <MENTION_3> Abbiamo già avuto  MONTI,, ed abbiamo visto cosa ha fatto ,, assieme alla Fornero,, servi dell' Europa ,leccaculi della culona e di Sarkozy	1	1
17	Comunque Chiara Ferragni tettona sicuramente fra i regali più belli di questo 2018.	1	1
18	<MENTION_1> Il problema è sorto da quando il premier francese fece assassinare Gheddafi in combutta con il presidente USA e la culona tedesca.	1	1
19	<MENTION_1> <MENTION_2> Marica seguimi ti scopo io troia	1	1
20	Zitta puttana ti metto i coglioni in gola <URL>	1	1
21	#Isola sto rivedendo replica dell'isola. Elena schifosa lurida, ma chiudi la boccaccia  Cattiva perfida	1	1
22	<MENTION_1> Puttanona Adorata ??	1	1
23	<MENTION_1> perché sei una figa di legno, giusto?	1	1
24	Tremenda culona rica.. <MENTION_1> <URL>	1	0
25	<MENTION_1> Che tettona?	1	0
26	<MENTION_1> Loro purtroppo hanno dei problemi, tu invece i problemi li hai creati e continui imperterrita a crearli, quando sarà che ti togli definitivamente dai coglioni, rendi il maltolto e vai a vangare??? Sparisci figa di legno!!!	1	1
27	<MENTION_1> Non sparire però :) tettona bella	1	0
28	mi fa schifo al cazzo lei e la sua mentalità di merda porca puttana ma muori	1	1
29	<MENTION_1> Grande Laurito. Quindi la Asia Argento ci sta dicendo che quasi tutte quelle che hanno avuto successo, premi, riconoscimenti, sono delle gran puttane? E che lei - non da meno- è offesa perchè oltre ad iniezione di carne non ha avuto altro	1	1
30	Non ho voglia di lasciare il mio lago x farmi 3 ore fino a Malpensa x la mia tettona...Che palleeeeee...	1	0
31	RT <MENTION_1> <MENTION_2> Che troia che sei <URL>	1	1
32	<MENTION_1> <MENTION_2> Ti sborro sulla lingua ... ovviamente	1	1
33	COME DIVENTARE UN PUTTANONE DA BATTAGLIA!: <URL> tramite <MENTION_1>	1	1
34	#Selvaggilucarelli non sa recitare, non sa ballare, non sa presentare, diciamo che non sa fare nulla e l'unico motivo per cui si trova in tv è perchè è un puttanone che l'ha data a mezzo mondo...	1	1
35	<MENTION_1> <MENTION_2> Che bella pompinara	1	1
36	<MENTION_1> Echi se ne frega di te e delle tue amiche tu sei una lurida che si prende un casino di soldi da noi italiani x non fare un cazzo scusa se uso il francese x il mio disappunto nei tuoi confronti ciaonee	1	1
37	Qualsiasi cosa possa aver fatto o detto #RaoulBova, #SelvaggiaLucarelli <MENTION_1> si propone sempre per quello che è: una maleducata, villana, acida, pronta a attaccare tutto e tutti per fare show. <MENTION_2> da lei ricava solo una brutta pubblicità. Peccato. <URL>	1	0
38	<MENTION_1> che bella coda di cavalla da tirare mentre ti inculo	1	1
39	<MENTION_1> ed io ti inculo carissima GILDA	1	1
40	<MENTION_1> <MENTION_2> Il trucco del perfetto puttanone	1	1
41	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> ma li sbocchini pe fatte protegge la troia che sei?	1	1
42	Ti lascio che eri una brava ragazza e ti ritrovo un puttanone #upas	1	1
43	fIgA dI lEgNo	1	1
44	<MENTION_1> scrivimi in dm se vuoi essere sottomessa, troia	1	1
45	<MENTION_1> complimenti cara signora che gran bel culone . Tutto da leccare e succhiare . Mmmmm	1	1
46	<MENTION_1> <MENTION_2> Ma che c'entra il sessimo? Se dico che Weinstein è un puttaniere porco e maniaco sessuale va bene, ma se dico che Selvaggia Lucarelli è un puttanone è sessismo?	1	1
47	Se scrivi che Weinstein o Trump sono dei porci e dei maniaci tutti applaudono, ma se dici che Selvaggia Lucarelli è un puttanone sei sessista...	1	1
48	<MENTION_1> <MENTION_2> <MENTION_3> Che tettona	1	1
49	<MENTION_1> Ma basta co sta dieta.. Metti su un po' di bel culone che magari ti guardano di più, tu che ti lamenti sempre che non trovi da ciulareeee... Ai maschi piace palpareeeee....	1	0
50	<MENTION_1> sei una figa fantastica ti scoperei volentieri	1	1
51	<MENTION_1> Splendida pompinara. Sborrooooo	1	0
52	Se vai a nanna sereno ...... è  meglio!Buonanotte da quella culona della Momi	1	0
53	Ci mancava solo lo scandalo col puttanone cubano... #Emigratis	1	1
54	<MENTION_1> <MENTION_2> Gita fuori porta con te subito fuori la porta di casa ti inchiappetto e ti trombo e ti sborro sulle tette	1	1
55	<MENTION_1> //non mi ami? Che puttana che sei	1	1
56	<MENTION_1> La culona è una grande Paracelsus falsa e ignorante da far paura!!!	1	0
57	<MENTION_1> Quanto ti scoperei	1	1
58	<MENTION_1> Buongiorno...grazie e buon martedì anche a te splendida tettona	1	0
59	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> Buongiorno bella tettona	1	1
60	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> <MENTION_6> <MENTION_7> <MENTION_8> <MENTION_9> <MENTION_10> <MENTION_11> <MENTION_12> <MENTION_13> Buongiorno bellissima tettona	1	0
61	<MENTION_1> Come ho già dett,o se si da del puttaniere, porco maniaco a Weinstein tutte le donne applaudono (comprese quelle che lo hanno opportunisticamente sfruttato). Se invece si da del puttanone a #SelvaggiaLucarelli che voelva fare sesso con Siffred	1	0
62	<MENTION_1> Guardala qua il puttanone ???? <URL>	1	1
63	<MENTION_1> quando vuoi ti sborro ovunque...	1	1
64	<MENTION_1> <MENTION_2> Ho fatto i masters puro io a Tele'me so'ngroppato a fidanzata de quer frocione de He Man,qua'a pompinara co a coda de cavallo e'e zinne a punta sadomaso	1	1
65	<MENTION_1> ho una bionda tettona che mi stalkera, è sempre la stessa ma inspiegabilmente cambia sempre nome.	1	0
66	Da curare saranno loro, la culona, che ne dite di ina bella TSO? <URL>	1	1
67	RT <MENTION_1> DONNA SCHIAVA ZITTA E LAVA, la cosa più soddisfacente della mia vita <URL>	1	1
68	<MENTION_1> che bel culone da sfondare...sei una gran porca da usare a piacimento e riempire di sborra	1	1
69	<MENTION_1> la prossima volta chiama me che oltre a riprenderti di da qualcosa di più duro da infilarti in quel gran pezzo di figa mmmmmmmm sei da infarto	1	1
70	<MENTION_1> <MENTION_2> Quella era compresa e sottointesa sennò i wurstel sappiamo noi dove metterli a sto crucchi iniziando dalla culona!	1	1
71	<MENTION_1> Utente non trovato. La psicopatica si starà mangiando il telefono per quanto le riderà il culo. Sta stronza!	1	0
72	<MENTION_1> Ti inculo	1	1
73	<MENTION_1> ciao seguimi ti sbatto io come una cagna mentre il.cornuto guarda	1	1
74	<MENTION_1> A chi l hai dedicata alla troia che ti scrive ti amo e sottomessa a quello che vuoi te	1	1
75	<MENTION_1> Donna al volante...figa costante... te la leccherei fin quando non godi come una bella zocc... ????	1	1
76	<MENTION_1>  #isola FUORI LA CULONA <URL>	1	1
77	<MENTION_1> Ti sbatto il cazzo dentro la figa vicino al numero	1	1
78	Un aspirante nuovo re sole, la culona inchiavabile di berlusconiana memoria ed un PIRLA che ha venduto il culo ....dei GRECI. tre shithole. <URL>	1	1
79	<MENTION_1> ciao tesoro buon pm un bacio ? sempre più figa ti scoperei	1	0
80	Caro #PD , con la tua strategia da duri e puri assomigli a quel puttanone senza ritegno che, una volta invecchiata, imbruttita e ignorata, si dava arie da verginella sdegnosa e integerrima.	1	0
81	e poi la culona a il coraggio di criticare.	1	0
82	<MENTION_1> <MENTION_2> Anche tua mamma e tua sorella sono due gran belle puttanone, la nonnina invece se la sbatteva il cane de li mortacci tua	1	1
83	<MENTION_1> <MENTION_2> Ricordi di aver seguito la prima dieta a 15 anni, quando la mamma di una mia amica mi definì culona.	1	0
84	Gran tettona mulatta, vorrei bere il suo latte caldo <URL>	1	1
85	<MENTION_1> 9 davvero un bel culone da troione	1	1
86	<MENTION_1> Che pezzo di figa che sei Federica ????	1	0
87	<MENTION_1> ciao tesoro buona sera e una buona serata ? un bacio ? oggi mi sono andato a fare una bella scopata con una tettona wow	1	0
88	<MENTION_1> Cagnolini, gattini, fiorellini...con quella faccia da troia, ma posta i cazzi	1	1
89	<MENTION_1> <MENTION_2> Ma vedi come se li gusta i due cazzi neri sta troia	1	1
90	Susina che figa di legno che sei! #upas	1	1
91	Tua madre è un puttanone turco di merda!!!!!!!!	1	1
92	<MENTION_1> <MENTION_2> Ma che cazzo c’entra, cogliona esaurita?	1	1
93	<MENTION_1> La gerMAGNA.(E a furia de MAGNA', diventa #Culona) ? <URL>	1	0
94	<MENTION_1> Ida mi sa che. Jonathan.  E un paraculo. Pericoloso una vipera .  lo sai chi va in finale. Perme.. Va Francesca la tettona Cipriani	1	0
95	<MENTION_1> Infatti furbissima la tettona	1	0
96	Ammazza che culona  #piccolieobesi	1	1
97	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> Macciavrà armeno unin fermiera tettona cheffà massagio anali?	1	1
98	<MENTION_1> Se lo fa speriamo è una bella culona	1	1
99	<MENTION_1> <MENTION_2> la tua pssessione guardare gli altri giocarla...grandissima balena puttana!	1	1
100	Bruttina con boccuccia da pompinara <URL>	1	1
101	<MENTION_1> Concordo in pieno. C'è da dire che sicuramente personaggi del genere non hanno nessun interesse all'altra persona e se quella non acconsente è una figa di legno. Come ci parli con gente così?	1	0
102	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> <MENTION_6> <MENTION_7> Ti sborro sui piedi?	1	1
103	ELENA MI DICI CHE CAZZO FAI PORCA TROIA NESSUNO TI HA DATO IL PERMESSO <URL>	1	1
104	<MENTION_1> PUTTANA CHE CAZZO VUOI	1	1
105	<MENTION_1> quanto stai godendo a vederti sputtanata per la troia che sei?	1	1
106	<MENTION_1> Puttana succhia cazzi	1	1
107	<MENTION_1> Ma sei una tettona meravigliosa ?	1	1
108	<MENTION_1> È quello che ti meriti, un porco che ti sbatte forte come una cagna in calore..che ti sfonda la figa a colpi di cappella e che ti riempie la figa di sborra calda ???	1	1
109	La Culona tedesca è un pericolo per la democrazia ⁉️⁉️⁉️ ??? <URL>	1	1
110	<MENTION_1> <MENTION_2> Troia ,succhiacazzi , infame e comunista	1	1
111	<MENTION_1> da morire...wow...sarei capace di farmelo succhiare mentre fai pipì e dopo te lo infilerei a gambe aperte,nella tua figa ancora bagnata	1	1
112	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> <MENTION_6> <MENTION_7> <MENTION_8> Potrebbe essere anche Chiara la pompinara	1	1
113	<MENTION_1> Buongiorno tettona le scopriamo?	1	1
114	Bella quanto vuoi però se sei caga cazzi puoi startene nel tuo figa di legno	1	1
115	<MENTION_1> Che tettona ?	1	0
116	<MENTION_1> <MENTION_2> <MENTION_3> Ma ti cago in gola	1	1
117	<MENTION_1> quando mi farai scopare il tuo bel culo..oltre alla figa e bocca..:-) :-)	1	1
118	"RT <MENTION_1> Vedi quella culona? Sta leggendo Fabio Volo. Io non scrivo per lei. Avremo un pubblico ristretto, ma saremo riconoscibi…"""	1	1
119	<MENTION_1> Cerrrto bella puttanona bocchinara rotta in  culo...!!! Come faccio a contattarti ??? Sono di Milano....	1	1
120	<MENTION_1> Bella troina puttanona da sbatterti come un porco	1	1
121	<MENTION_1> Mammmm che tettona meravigliosa	1	0
122	Mi è piaciuto un video di <MENTION_1> <URL> SOFIA JAMORA MODELO CULONA EN BIKINI	1	0
123	<MENTION_1> Dale Culona! ?	1	0
124	<MENTION_1> Ok io arrivo e ti inculo tutta mattina	1	1
125	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> <MENTION_6> <MENTION_7> <MENTION_8> <MENTION_9> <MENTION_10> <MENTION_11> <MENTION_12> <MENTION_13> <MENTION_14> <MENTION_15> <MENTION_16> <MENTION_17> <MENTION_18> <MENTION_19> <MENTION_20> @	1	0
126	<MENTION_1> aah la preferisci acqua e sapone. io la preferisco più puttanone da combattimento, tipo così <URL>	1	0
127	<MENTION_1> veroo, tipo il tizio dai capelli rossi (maronn lo amo) ha fatto tanto per violet però si vedon poco le sue abilità come capo delle doll, oppure la tipa tettona (maronn amo pure lei) insieme alle altre doll, son poco presenti insomma È STRANO	1	0
128	<MENTION_1> Che bel culone ???	1	1
129	<MENTION_1> <MENTION_2> Che pompinara che sei Maya	1	1
130	<MENTION_1> ciao tesoro buon pm e un bacio ? ieri mi sono fatto una Bella scopata con un tettona wow che goduria	1	1
131	Figa di legno ??? #radio105	1	1
132	<MENTION_1> Te lo lecco.ti inculo.te lo riempio	1	1
133	<MENTION_1> che belle labbra da super pompinara	1	0
134	<MENTION_1> Che puttana ti scoperei sempre hummmm	1	1
135	Porca puttana la mia coinquilina è un cazzo di invertebrato di merda, non so se riesco ad affrontare altri due mesi senza menarla	1	1
136	che puttanone mamma mia <URL>	1	1
137	"<MENTION_1> Due giorni fa mi son dovuto sorbire le lagne di una tettona che aveva male allo sterno al punto da prendere antidolorifici; la mia ex tua omonima, quella a cui piaceva il vecchio porco"", parlava sempre di farsele ridurre. A parte a fare le s"	1	1
138	<MENTION_1> <MENTION_2> bella figa da scopare	1	1
139	<MENTION_1> E per alcune se non hai almeno 25 cm non vai bene. Sono una minoranza, gli uni e le altre. Se poi preferiscono una tettona imbranata a letto, che te ne fai di uomini così tu?	1	1
140	<MENTION_1> Che faccia da troia	1	1
141	Lurida cagna bevicazzi mai una giusta ne hai fatta <URL>	1	1
142	<MENTION_1> alla...CULONA...vuoi dire	1	1
143	se confessi ti avere il problma telle crisi ti panico e terrore con me io ti stupro. non farlo	1	1
144	<MENTION_1> Ti sfonderei il culetto aggiungimi troia	1	1
145	<MENTION_1> Che tettona magnifica!!!!!!	1	0
146	Ma senti questa BALDRACCA schifosa  ed assassina, ha la faccia come il culo! e la fanno anche parlare invece di arrestarlo processata e mandarla in galera! Ma dove siamo finiti? <URL>	1	1
147	<MENTION_1> Super tettona?	1	0
